0,1,2,3,4,5,6,7,8,9,10
whole milk,brown bread,soda,,,,,,,,
napkins,cocoa drinks,shopping bags,,,,,,,,
hamburger meat,pip fruit,rolls/buns,dishes,,,,,,,
root vegetables,yogurt,butter,yogurt,,,,,,,
root vegetables,citrus fruit,whole milk,chewing gum,,,,,,,
sausage,yogurt,fruit/vegetable juice,,,,,,,,
chocolate,whole milk,,,,,,,,,
chicken,coffee,,,,,,,,,
white bread,domestic eggs,,,,,,,,,
sausage,newspapers,salty snack,soda,,,,,,,
UHT-milk,other vegetables,,,,,,,,,
pip fruit,sweet spreads,,,,,,,,,
frozen meals,brown bread,other vegetables,curd cheese,,,,,,,
sugar,bottled beer,,,,,,,,,
meat,ice cream,,,,,,,,,
dessert,curd,,,,,,,,,
misc. beverages,shopping bags,yogurt,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
yogurt,domestic eggs,frozen vegetables,fruit/vegetable juice,,,,,,,
other vegetables,other vegetables,,,,,,,,,
ice cream,salty snack,,,,,,,,,
grapes,rolls/buns,,,,,,,,,
soda,rice,sweet spreads,,,,,,,,
specialty fat,pet care,,,,,,,,,
soda,dessert,shopping bags,,,,,,,,
misc. beverages,rice,soda,,,,,,,,
finished products,bottled beer,,,,,,,,,
canned vegetables,chocolate marshmallow,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
finished products,ice cream,tropical fruit,whole milk,,,,,,,
shopping bags,sparkling wine,,,,,,,,,
onions,soda,,,,,,,,,
rolls/buns,cream cheese ,,,,,,,,,
whole milk,pork,rolls/buns,yogurt,,,,,,,
soda,curd,rolls/buns,,,,,,,,
rice,dish cleaner,,,,,,,,,
tropical fruit,shopping bags,cream cheese ,pasta,,,,,,,
brown bread,hygiene articles,rolls/buns,,,,,,,,
turkey,whole milk,,,,,,,,,
bottled water,UHT-milk,,,,,,,,,
chicken,sugar,,,,,,,,,
pork,margarine,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
sausage,liquor (appetizer),coffee,,,,,,,,
canned beer,long life bakery product,,,,,,,,,
canned beer,pork,processed cheese,root vegetables,snack products,sugar,,,,,
whole milk,domestic eggs,chocolate marshmallow,,,,,,,,
frozen vegetables,specialty bar,,,,,,,,,
yogurt,pip fruit,,,,,,,,,
tea,pip fruit,,,,,,,,,
bottled water,margarine,onions,other vegetables,whole milk,,,,,,
frozen meals,sausage,canned beer,brown bread,frozen vegetables,chocolate,,,,,
beef,whole milk,frozen meals,,,,,,,,
finished products,brown bread,dishes,,,,,,,,
berries,white bread,,,,,,,,,
baking powder,frozen potato products,,,,,,,,,
sausage,butter,,,,,,,,,
pork,flour,,,,,,,,,
other vegetables,soda,hard cheese,coffee,whipped/sour cream,newspapers,,,,,
ice cream,whole milk,margarine,whole milk,,,,,,,
chicken,rolls/buns,pip fruit,pastry,frozen meals,,,,,,
specialty chocolate,rolls/buns,,,,,,,,,
other vegetables,soda,brown bread,whole milk,yogurt,cling film/bags,brown bread,pastry,,,
bottled water,curd,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
hamburger meat,candy,,,,,,,,,
beverages,bottled water,,,,,,,,,
other vegetables,other vegetables,butter,,,,,,,,
curd cheese,UHT-milk,,,,,,,,,
red/blush wine,sausage,soda,whole milk,rolls/buns,,,,,,
chicken,other vegetables,bathroom cleaner,chicken,grapes,fruit/vegetable juice,fruit/vegetable juice,soda,,,
whole milk,margarine,rolls/buns,,,,,,,,
brown bread,domestic eggs,,,,,,,,,
berries,sliced cheese,,,,,,,,,
sausage,margarine,margarine,,,,,,,,
yogurt,butter milk,,,,,,,,,
curd,whole milk,pet care,,,,,,,,
soda,specialty bar,,,,,,,,,
specialty bar,cream cheese ,,,,,,,,,
other vegetables,beverages,margarine,,,,,,,,
chocolate,other vegetables,chocolate,pip fruit,bottled water,yogurt,pasta,shopping bags,,,
citrus fruit,soda,,,,,,,,,
bottled beer,white bread,,,,,,,,,
root vegetables,zwieback,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
rolls/buns,pork,,,,,,,,,
beef,beef,margarine,,,,,,,,
curd,brown bread,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
pastry,bottled beer,,,,,,,,,
pip fruit,dessert,sauces,,,,,,,,
packaged fruit/vegetables,shopping bags,butter milk,,,,,,,,
beverages,shopping bags,,,,,,,,,
hamburger meat,whole milk,,,,,,,,,
sausage,sausage,frozen fish,house keeping products,,,,,,,
whipped/sour cream,soda,,,,,,,,,
tropical fruit,pork,soda,onions,,,,,,,
pork,cream cheese ,,,,,,,,,
whole milk,newspapers,,,,,,,,,
candy,whole milk,,,,,,,,,
sliced cheese,rolls/buns,rolls/buns,,,,,,,,
rum,yogurt,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
canned beer,bottled beer,chocolate,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
finished products,newspapers,,,,,,,,,
cream,yogurt,,,,,,,,,
yogurt,pip fruit,house keeping products,frozen vegetables,,,,,,,
frankfurter,yogurt,,,,,,,,,
bottled beer,rolls/buns,whole milk,,,,,,,,
tropical fruit,citrus fruit,male cosmetics,,,,,,,,
whole milk,rice,,,,,,,,,
soda,pip fruit,hygiene articles,oil,,,,,,,
citrus fruit,yogurt,soda,,,,,,,,
beef,bottled water,,,,,,,,,
brandy,dessert,,,,,,,,,
photo/film,bottled water,,,,,,,,,
curd,margarine,,,,,,,,,
beef,domestic eggs,pastry,,,,,,,,
soda,salty snack,butter milk,baking powder,,,,,,,
hamburger meat,newspapers,,,,,,,,,
whole milk,bottled water,,,,,,,,,
chicken,citrus fruit,sugar,,,,,,,,
other vegetables,soda,,,,,,,,,
rolls/buns,long life bakery product,,,,,,,,,
soda,sausage,root vegetables,pork,whole milk,vinegar,other vegetables,domestic eggs,shopping bags,,
other vegetables,curd,beef,white bread,,,,,,,
bottled beer,cat food,,,,,,,,,
tropical fruit,specialty chocolate,,,,,,,,,
soda,whole milk,,,,,,,,,
pork,whole milk,,,,,,,,,
curd,long life bakery product,,,,,,,,,
ham,misc. beverages,,,,,,,,,
berries,soda,bottled beer,,,,,,,,
specialty bar,canned beer,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
sausage,napkins,,,,,,,,,
pastry,canned beer,whipped/sour cream,grapes,,,,,,,
other vegetables,margarine,bottled water,,,,,,,,
butter milk,ham,whole milk,chicken,domestic eggs,shopping bags,chewing gum,shopping bags,white bread,,
UHT-milk,cream cheese ,,,,,,,,,
chicken,chocolate,,,,,,,,,
whole milk,white bread,,,,,,,,,
frankfurter,ham,white wine,detergent,popcorn,,,,,,
citrus fruit,roll products ,frozen vegetables,,,,,,,,
canned beer,herbs,margarine,,,,,,,,
sausage,white bread,,,,,,,,,
newspapers,salty snack,pastry,,,,,,,,
beef,butter,,,,,,,,,
tropical fruit,salty snack,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
pip fruit,citrus fruit,,,,,,,,,
chicken,fruit/vegetable juice,,,,,,,,,
other vegetables,hygiene articles,,,,,,,,,
salty snack,pip fruit,,,,,,,,,
tropical fruit,bottled water,,,,,,,,,
finished products,liquor,,,,,,,,,
root vegetables,soups,,,,,,,,,
whipped/sour cream,chocolate,,,,,,,,,
canned beer,yogurt,,,,,,,,,
artif. sweetener,bottled water,butter milk,butter,soda,,,,,,
soda,dish cleaner,,,,,,,,,
hard cheese,specialty bar,,,,,,,,,
turkey,shopping bags,,,,,,,,,
hamburger meat,hygiene articles,,,,,,,,,
cake bar,bottled beer,,,,,,,,,
rolls/buns,rolls/buns,soft cheese,,,,,,,,
frankfurter,chocolate,,,,,,,,,
brown bread,coffee,canned beer,,,,,,,,
cream cheese ,soda,,,,,,,,,
white wine,dishes,,,,,,,,,
sausage,Instant food products,,,,,,,,,
canned beer,brown bread,,,,,,,,,
other vegetables,sugar,oil,,,,,,,,
whole milk,pip fruit,,,,,,,,,
other vegetables,whipped/sour cream,whole milk,sugar,,,,,,,
frankfurter,soda,whole milk,whole milk,flour,,,,,,
ice cream,hygiene articles,,,,,,,,,
pork,butter,napkins,seasonal products,coffee,,,,,,
dessert,condensed milk,rolls/buns,shopping bags,,,,,,,
sausage,pork,,,,,,,,,
soda,other vegetables,,,,,,,,,
canned beer,other vegetables,salty snack,,,,,,,,
yogurt,white bread,salty snack,,,,,,,,
pip fruit,specialty bar,chocolate,,,,,,,,
domestic eggs,whole milk,,,,,,,,,
margarine,margarine,,,,,,,,,
bottled water,whole milk,,,,,,,,,
rice,whipped/sour cream,,,,,,,,,
soda,hamburger meat,,,,,,,,,
whole milk,bottled water,,,,,,,,,
onions,soda,rolls/buns,,,,,,,,
sausage,salt,,,,,,,,,
chocolate,long life bakery product,,,,,,,,,
whole milk,rolls/buns,tropical fruit,other vegetables,cake bar,rolls/buns,curd,,,,
hamburger meat,brown bread,chewing gum,,,,,,,,
coffee,whipped/sour cream,,,,,,,,,
canned beer,onions,,,,,,,,,
meat,root vegetables,,,,,,,,,
dishes,tropical fruit,,,,,,,,,
tropical fruit,yogurt,,,,,,,,,
butter,white bread,,,,,,,,,
bottled water,salty snack,brown bread,,,,,,,,
whole milk,specialty fat,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
Instant food products,white bread,semi-finished bread,,,,,,,,
dessert,cake bar,,,,,,,,,
frankfurter,packaged fruit/vegetables,,,,,,,,,
pork,yogurt,,,,,,,,,
frozen meals,pickled vegetables,,,,,,,,,
whole milk,yogurt,,,,,,,,,
herbs,root vegetables,,,,,,,,,
sausage,brandy,,,,,,,,,
tropical fruit,tropical fruit,,,,,,,,,
berries,soda,oil,,,,,,,,
rolls/buns,pip fruit,,,,,,,,,
whipped/sour cream,rolls/buns,soda,,,,,,,,
whole milk,other vegetables,,,,,,,,,
ice cream,onions,,,,,,,,,
whole milk,butter,,,,,,,,,
pork,sweet spreads,,,,,,,,,
citrus fruit,beef,tropical fruit,curd,,,,,,,
hamburger meat,organic sausage,,,,,,,,,
sparkling wine,root vegetables,,,,,,,,,
bottled beer,dog food,,,,,,,,,
flower soil/fertilizer,tropical fruit,,,,,,,,,
onions,specialty chocolate,,,,,,,,,
pork,specialty cheese,,,,,,,,,
frankfurter,other vegetables,,,,,,,,,
whipped/sour cream,yogurt,hygiene articles,,,,,,,,
yogurt,coffee,,,,,,,,,
turkey,grapes,soda,,,,,,,,
bottled beer,other vegetables,,,,,,,,,
beverages,other vegetables,,,,,,,,,
root vegetables,canned fish,hygiene articles,,,,,,,,
salty snack,soups,,,,,,,,,
canned beer,pastry,,,,,,,,,
whole milk,meat,,,,,,,,,
soda,yogurt,whole milk,coffee,,,,,,,
berries,rolls/buns,,,,,,,,,
canned vegetables,popcorn,,,,,,,,,
rolls/buns,dessert,coffee,,,,,,,,
specialty chocolate,tropical fruit,,,,,,,,,
beef,margarine,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
whole milk,pork,,,,,,,,,
rolls/buns,yogurt,newspapers,margarine,,,,,,,
candy,margarine,butter,,,,,,,,
fruit/vegetable juice,citrus fruit,pastry,tropical fruit,margarine,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
citrus fruit,soda,whole milk,whipped/sour cream,,,,,,,
specialty bar,domestic eggs,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
other vegetables,mayonnaise,fruit/vegetable juice,,,,,,,,
long life bakery product,chocolate,,,,,,,,,
beef,specialty fat,newspapers,,,,,,,,
specialty bar,chicken,,,,,,,,,
pork,frozen meals,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
brown bread,coffee,,,,,,,,,
soda,brown bread,,,,,,,,,
liver loaf,margarine,cat food,,,,,,,,
pip fruit,hamburger meat,butter,yogurt,,,,,,,
sausage,bottled beer,sliced cheese,,,,,,,,
grapes,whole milk,,,,,,,,,
pastry,specialty cheese,soap,rolls/buns,,,,,,,
tropical fruit,soda,oil,,,,,,,,
tropical fruit,cake bar,,,,,,,,,
whole milk,flour,,,,,,,,,
sausage,soda,bottled beer,yogurt,,,,,,,
ham,pastry,,,,,,,,,
beverages,bottled beer,domestic eggs,chocolate,,,,,,,
rolls/buns,soft cheese,fruit/vegetable juice,,,,,,,,
root vegetables,mayonnaise,,,,,,,,,
frankfurter,pip fruit,pip fruit,whole milk,candy,,,,,,
chocolate,sliced cheese,bottled water,oil,,,,,,,
rolls/buns,yogurt,,,,,,,,,
canned beer,sausage,pork,whipped/sour cream,margarine,pickled vegetables,pastry,,,,
sausage,sliced cheese,salty snack,,,,,,,,
other vegetables,zwieback,,,,,,,,,
ham,tropical fruit,,,,,,,,,
frankfurter,soda,other vegetables,,,,,,,,
fruit/vegetable juice,soda,,,,,,,,,
citrus fruit,bottled beer,butter milk,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
root vegetables,spread cheese,,,,,,,,,
whole milk,specialty cheese,,,,,,,,,
bottled beer,pastry,,,,,,,,,
whole milk,butter milk,yogurt,,,,,,,,
berries,domestic eggs,,,,,,,,,
UHT-milk,rolls/buns,,,,,,,,,
frankfurter,sliced cheese,sugar,,,,,,,,
soda,yogurt,,,,,,,,,
sausage,rolls/buns,pickled vegetables,,,,,,,,
chocolate,butter,,,,,,,,,
sliced cheese,soda,oil,syrup,,,,,,,
pork,tropical fruit,pip fruit,brown bread,,,,,,,
pip fruit,margarine,specialty cheese,,,,,,,,
UHT-milk,cream cheese ,,,,,,,,,
soda,salt,,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
UHT-milk,other vegetables,cake bar,,,,,,,,
soda,bottled water,seasonal products,,,,,,,,
berries,white bread,,,,,,,,,
pip fruit,canned vegetables,,,,,,,,,
white wine,newspapers,dog food,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
hamburger meat,bottled water,,,,,,,,,
specialty bar,chewing gum,,,,,,,,,
pork,dental care,,,,,,,,,
pet care,whole milk,,,,,,,,,
sliced cheese,napkins,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
tropical fruit,canned fish,,,,,,,,,
grapes,chocolate,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
yogurt,tidbits,,,,,,,,,
frozen meals,onions,,,,,,,,,
bottled beer,herbs,,,,,,,,,
rolls/buns,margarine,soda,,,,,,,,
chocolate marshmallow,whole milk,whole milk,,,,,,,,
sausage,bottled water,whole milk,ketchup,soda,chewing gum,,,,,
rolls/buns,misc. beverages,,,,,,,,,
soups,sugar,seasonal products,bottled beer,,,,,,,
baking powder,fruit/vegetable juice,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
specialty bar,rolls/buns,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
root vegetables,tropical fruit,,,,,,,,,
soda,dog food,,,,,,,,,
other vegetables,beverages,,,,,,,,,
brown bread,curd,,,,,,,,,
baking powder,soda,beverages,,,,,,,,
sausage,other vegetables,citrus fruit,curd,red/blush wine,dessert,specialty chocolate,white bread,pastry,,
beef,waffles,citrus fruit,waffles,,,,,,,
cream cheese ,yogurt,whipped/sour cream,,,,,,,,
soda,shopping bags,,,,,,,,,
napkins,canned vegetables,,,,,,,,,
processed cheese,fruit/vegetable juice,frozen meals,cat food,,,,,,,
frankfurter,other vegetables,ham,other vegetables,other vegetables,fruit/vegetable juice,rolls/buns,fruit/vegetable juice,rolls/buns,,
yogurt,newspapers,,,,,,,,,
butter,bottled water,bottled water,,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,dessert,,,,,,,,,
rolls/buns,shopping bags,,,,,,,,,
turkey,domestic eggs,,,,,,,,,
yogurt,condensed milk,,,,,,,,,
sausage,chicken,frozen vegetables,whole milk,packaged fruit/vegetables,,,,,,
tropical fruit,canned beer,hygiene articles,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
whole milk,UHT-milk,,,,,,,,,
long life bakery product,yogurt,,,,,,,,,
citrus fruit,beef,,,,,,,,,
pork,other vegetables,,,,,,,,,
napkins,frozen vegetables,,,,,,,,,
canned beer,onions,,,,,,,,,
butter,coffee,soda,pastry,,,,,,,
sausage,soda,,,,,,,,,
honey,salty snack,,,,,,,,,
other vegetables,cat food,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
hygiene articles,dessert,,,,,,,,,
soda,domestic eggs,,,,,,,,,
turkey,whole milk,,,,,,,,,
beef,chocolate marshmallow,margarine,,,,,,,,
frankfurter,fruit/vegetable juice,,,,,,,,,
ice cream,yogurt,,,,,,,,,
misc. beverages,curd,,,,,,,,,
UHT-milk,pip fruit,specialty chocolate,chewing gum,canned fruit,,,,,,
yogurt,yogurt,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
curd,cat food,,,,,,,,,
bottled beer,curd,kitchen towels,,,,,,,,
whole milk,whole milk,,,,,,,,,
margarine,sausage,sausage,pork,citrus fruit,yogurt,frozen meals,other vegetables,,,
pork,berries,,,,,,,,,
butter,bottled water,,,,,,,,,
canned beer,pip fruit,sugar,,,,,,,,
processed cheese,waffles,,,,,,,,,
sausage,root vegetables,soda,chocolate marshmallow,,,,,,,
curd,whole milk,canned beer,,,,,,,,
sliced cheese,soda,,,,,,,,,
curd,curd,,,,,,,,,
sparkling wine,liquor,detergent,,,,,,,,
sausage,newspapers,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
canned vegetables,fish,,,,,,,,,
sausage,sliced cheese,,,,,,,,,
onions,root vegetables,,,,,,,,,
citrus fruit,oil,specialty chocolate,,,,,,,,
hamburger meat,dish cleaner,,,,,,,,,
sausage,specialty bar,,,,,,,,,
soda,whole milk,soda,specialty bar,bottled water,,,,,,
newspapers,grapes,onions,coffee,,,,,,,
meat,canned beer,,,,,,,,,
frankfurter,shopping bags,,,,,,,,,
chewing gum,coffee,sugar,,,,,,,,
root vegetables,margarine,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
cleaner,misc. beverages,,,,,,,,,
bottled water,chocolate,,,,,,,,,
sausage,newspapers,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
beef,fruit/vegetable juice,,,,,,,,,
sausage,cake bar,,,,,,,,,
soda,hard cheese,,,,,,,,,
bottled water,domestic eggs,,,,,,,,,
whole milk,white bread,,,,,,,,,
whole milk,female sanitary products,,,,,,,,,
pork,rolls/buns,,,,,,,,,
sliced cheese,candy,,,,,,,,,
canned beer,other vegetables,,,,,,,,,
pip fruit,UHT-milk,shopping bags,,,,,,,,
beverages,canned vegetables,,,,,,,,,
soda,bottled water,,,,,,,,,
soda,hard cheese,,,,,,,,,
sausage,whole milk,,,,,,,,,
soda,salty snack,,,,,,,,,
yogurt,ham,other vegetables,soda,other vegetables,newspapers,nut snack,canned beer,,,
beef,yogurt,,,,,,,,,
tropical fruit,dessert,,,,,,,,,
sausage,whole milk,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
rolls/buns,pip fruit,rolls/buns,rolls/buns,,,,,,,
chocolate marshmallow,other vegetables,,,,,,,,,
sausage,long life bakery product,,,,,,,,,
canned beer,hygiene articles,,,,,,,,,
rolls/buns,brown bread,canned beer,,,,,,,,
bottled water,tropical fruit,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
other vegetables,waffles,rolls/buns,chocolate,,,,,,,
tropical fruit,butter,,,,,,,,,
bottled beer,oil,,,,,,,,,
sausage,root vegetables,soda,,,,,,,,
whole milk,whole milk,,,,,,,,,
chicken,whole milk,newspapers,,,,,,,,
misc. beverages,brown bread,,,,,,,,,
finished products,whole milk,baking powder,,,,,,,,
canned beer,semi-finished bread,,,,,,,,,
meat,beverages,,,,,,,,,
canned beer,napkins,rolls/buns,,,,,,,,
chicken,pork,newspapers,,,,,,,,
citrus fruit,whole milk,rolls/buns,pastry,whipped/sour cream,,,,,,
frankfurter,berries,,,,,,,,,
frankfurter,berries,bottled water,processed cheese,pickled vegetables,,,,,,
ham,domestic eggs,,,,,,,,,
chicken,napkins,other vegetables,newspapers,,,,,,,
dessert,whole milk,,,,,,,,,
other vegetables,other vegetables,,,,,,,,,
sugar,whole milk,shopping bags,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
rolls/buns,soda,,,,,,,,,
chicken,other vegetables,,,,,,,,,
rolls/buns,beef,,,,,,,,,
root vegetables,salty snack,whipped/sour cream,,,,,,,,
citrus fruit,waffles,,,,,,,,,
curd,coffee,baking powder,,,,,,,,
frankfurter,curd,beef,whipped/sour cream,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
yogurt,whole milk,,,,,,,,,
beef,canned beer,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
chicken,butter milk,,,,,,,,,
frankfurter,specialty chocolate,pip fruit,,,,,,,,
whole milk,candy,domestic eggs,white wine,,,,,,,
bottled beer,hard cheese,,,,,,,,,
other vegetables,butter,,,,,,,,,
soda,newspapers,,,,,,,,,
beverages,oil,,,,,,,,,
frozen meals,domestic eggs,domestic eggs,,,,,,,,
ice cream,canned beer,,,,,,,,,
other vegetables,mustard,,,,,,,,,
yogurt,long life bakery product,,,,,,,,,
dessert,other vegetables,,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
soft cheese,bottled water,,,,,,,,,
red/blush wine,pork,,,,,,,,,
bottled beer,domestic eggs,,,,,,,,,
whipped/sour cream,frankfurter,rolls/buns,citrus fruit,candy,bottled beer,yogurt,whole milk,,,
condensed milk,processed cheese,rolls/buns,,,,,,,,
tropical fruit,shopping bags,,,,,,,,,
whole milk,ham,other vegetables,rum,canned beer,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
ham,citrus fruit,,,,,,,,,
pip fruit,onions,yogurt,,,,,,,,
soda,other vegetables,bottled beer,,,,,,,,
soda,red/blush wine,,,,,,,,,
pastry,baking powder,,,,,,,,,
frozen meals,ham,specialty chocolate,roll products ,,,,,,,
pork,pip fruit,,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
pip fruit,white wine,whole milk,,,,,,,,
soda,cream cheese ,,,,,,,,,
frankfurter,salty snack,,,,,,,,,
coffee,cream cheese ,,,,,,,,,
flour,bottled water,,,,,,,,,
tropical fruit,flour,,,,,,,,,
roll products ,soda,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
pip fruit,pastry,,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
chocolate,whipped/sour cream,rolls/buns,,,,,,,,
pastry,UHT-milk,,,,,,,,,
citrus fruit,misc. beverages,,,,,,,,,
citrus fruit,ham,canned beer,frozen vegetables,tropical fruit,other vegetables,yogurt,whole milk,onions,,
sausage,canned beer,,,,,,,,,
bottled beer,fruit/vegetable juice,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
pork,root vegetables,,,,,,,,,
other vegetables,herbs,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
frankfurter,beef,soda,rolls/buns,pastry,bottled water,ketchup,pastry,,,
tropical fruit,sausage,,,,,,,,,
pip fruit,brown bread,,,,,,,,,
pastry,sliced cheese,,,,,,,,,
soft cheese,chewing gum,cling film/bags,,,,,,,,
pork,bottled beer,,,,,,,,,
roll products ,rice,,,,,,,,,
frankfurter,dessert,pet care,soda,whipped/sour cream,,,,,,
sausage,tropical fruit,yogurt,rolls/buns,margarine,shopping bags,,,,,
domestic eggs,bottled water,,,,,,,,,
beverages,other vegetables,brown bread,,,,,,,,
other vegetables,salty snack,syrup,newspapers,oil,,,,,,
whole milk,pastry,,,,,,,,,
yogurt,misc. beverages,brown bread,napkins,,,,,,,
dishes,frozen fish,,,,,,,,,
whole milk,cat food,,,,,,,,,
berries,processed cheese,,,,,,,,,
curd,syrup,,,,,,,,,
brown bread,chocolate,,,,,,,,,
whole milk,bottled water,coffee,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
other vegetables,margarine,,,,,,,,,
frankfurter,beef,,,,,,,,,
yogurt,detergent,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
chicken,other vegetables,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
root vegetables,bottled water,waffles,,,,,,,,
